"Weight","Seed","L_R_Init","L_R_Final","L_R_OK","R_R_Init","R_R_Final","R_R_OK","L_T_Init","L_T_Final","R_T_Init","R_T_Final","Dice","Time"
"0.15","2026","1.95384502410889","0.699415683746338","True","1.22077143192291","0.706652283668518","True","0.66120570898056","0.692970037460327","1.52770984172821","0.585751712322235","0.981079876422882","0.771856300008949"
"0.15","2027","1.17702853679657","0.491782695055008","True","2.40680265426636","0.94873857498169","True","1.91279530525208","0.703995883464813","1.59135568141937","0.692762315273285","0.980645924806595","0.780950199987274"
"0.15","2028","1.40025579929352","2.78530192375183","False","1.28206896781921","0.825668096542358","True","2.03177213668823","0.906737089157104","0.95248556137085","0.649621248245239","0.9526719947656","0.763051700021606"
"0.15","2029","1.51955497264862","0.851797878742218","True","0.567862331867218","0.50512969493866","True","0.768460988998413","0.732677102088928","0.151102960109711","0.604175329208374","0.984242628018061","0.805104200000642"
"0.15","2030","2.40794086456299","3.22828435897827","False","1.20755553245544","0.745985805988312","True","3.02280616760254","2.55545711517334","1.98536574840546","0.638969719409943","0.792145659526189","0.706487599993125"
"0.15","2031","1.08390069007874","0.782347023487091","True","2.25776100158691","1.01413559913635","True","1.48286211490631","0.726915895938873","1.54060792922974","0.705977320671082","0.983380268017451","0.793874100025278"
"0.15","2032","0.903090059757233","1.15589082241058","False","2.22052502632141","0.785342633724213","True","2.24727869033813","0.928246676921844","1.30266988277435","0.669007480144501","0.954436848560969","0.753398000000743"
"0.15","2033","1.13228750228882","0.163129419088364","True","1.79362368583679","0.731149137020111","True","2.75153279304504","0.675512492656708","1.17048704624176","0.596539795398712","0.980808079242706","0.768994099984411"
"0.15","2034","1.12047398090363","1.06275236606598","True","1.61495184898376","1.21046900749207","True","1.13772773742676","0.695332705974579","1.99483847618103","0.741661787033081","0.981407711903254","0.761891600006493"
"0.15","2035","2.50639677047729","1.53467619419098","True","0.868631064891815","0.6726034283638","True","2.25482773780823","0.745994031429291","0.689363837242126","0.622651398181915","0.972425560156504","0.742023900005734"
"0.25","2026","1.95384502410889","0.680700480937958","True","1.22077143192291","0.6385777592659","True","0.66120570898056","0.685091912746429","1.52770984172821","0.635726928710938","0.986447850863139","0.759566900000209"
"0.25","2027","1.17702853679657","0.647100746631622","True","2.40680265426636","0.574712634086609","True","1.91279530525208","0.682575702667236","1.59135568141937","0.640973269939423","0.981172074874242","0.779081499989843"
"0.25","2028","1.40025579929352","4.86050939559937","False","1.28206896781921","0.665584683418274","True","2.03177213668823","1.1537914276123","0.95248556137085","0.621135056018829","0.919864485661189","0.770692199992482"
"0.25","2029","1.51955497264862","0.312786668539047","True","0.567862331867218","0.593472898006439","False","0.768460988998413","0.734215557575226","0.151102960109711","0.578410387039185","0.986604571342468","0.80052479999722"
"0.25","2030","2.40794086456299","2.88527297973633","False","1.20755553245544","0.710518360137939","True","3.02280616760254","2.14251613616943","1.98536574840546","0.629243016242981","0.795163561900457","0.685686300013913"
"0.25","2031","1.08390069007874","0.586174368858337","True","2.25776100158691","1.21627485752106","True","1.48286211490631","0.737565934658051","1.54060792922974","0.739863693714142","0.982517043749491","0.775395300006494"
"0.25","2032","0.903090059757233","2.89583730697632","False","2.22052502632141","0.753813862800598","True","2.24727869033813","1.52520167827606","1.30266988277435","0.671412289142609","0.899013251066208","0.745713899988914"
"0.25","2033","1.13228750228882","0.23239004611969","True","1.79362368583679","0.62807297706604","True","2.75153279304504","0.649063169956207","1.17048704624176","0.665063977241516","0.986273715893428","0.819760599988513"
"0.25","2034","1.12047398090363","1.00014650821686","True","1.61495184898376","2.00896024703979","False","1.13772773742676","0.6910600066185","1.99483847618103","0.668970704078674","0.980188896258672","0.836818900017533"
"0.25","2035","2.50639677047729","2.86662292480469","False","0.868631064891815","0.900920629501343","False","2.25482773780823","0.931213140487671","0.689363837242126","0.645876049995422","0.9557732741038","0.765346000000136"
