"Test","Seed","RotationDeg","TranslationMm","JointsDeg","InitialDice","FinalDice","LeftDice","RightDice","PassOverall","PassBothArms","L_T","R_T","L_R","R_R","L_J","R_J"
"R2_T2_J2","2026","2","2","2","0.451646407445272","0.734866092602412","0.985426207383474","0.48430597782135","False","False","0.772930264472961","2.59785079956055","0.600030839443207","4.01590633392334","0.593708515167236","1.55939424037933"
"R2_T2_J2","2027","2","2","2","0.37122742831707","0.832324614127477","0.704730371634165","0.959918856620789","False","False","2.12468814849854","0.720190107822418","4.21203279495239","3.13525247573853","0.259237557649612","2.07401561737061"
"R2_T2_J2","2028","2","2","2","0.4008527820309","0.621570467948914","0.258833646774292","0.984307289123535","False","False","4.29181051254272","0.595604062080383","3.52447867393494","0.445872455835342","1.20098066329956","0.629888474941254"
"R2_T2_J2","2029","2","2","2","0.816792547702789","0.986893425385157","0.986050128936768","0.987736721833547","True","True","0.773881137371063","0.672262251377106","0.551074385643005","0.698855936527252","1.18151354789734","0.526032447814941"
"R2_T2_J2","2030","2","2","2","0.374234249194463","0.522291181259789","0.0944539860356599","0.950128376483917","False","False","5.45363092422485","0.780445158481598","4.54096651077271","2.89583730697632","2.42024374008179","1.57988357543945"
"R2_T2_J2","2031","2","2","2","0.702412332097689","0.921271065870921","0.984250803788503","0.858291327953339","False","False","0.79064667224884","1.33737981319427","0.0559529103338718","2.84922528266907","0.844532430171967","1.30000448226929"
"R2_T2_J2","2032","2","2","2","0.410558477044106","0.705035294095675","0.628575712442398","0.781494875748952","False","False","2.36623048782349","1.03658175468445","3.1716320514679","2.56292414665222","1.29846680164337","1.31719434261322"
"R2_T2_J2","2033","2","2","2","0.663241917888323","0.891639957825343","0.800979554653168","0.982300360997518","False","False","1.41969227790833","0.624606251716614","4.49553346633911","1.53493130207062","0.868378877639771","1.26273798942566"
"R2_T2_J2","2034","2","2","2","0.340340423863381","0.340340423863381","0.346119165420532","0.33456168230623","False","False","2.27545380592346","3.98967242240906","2.24157905578613","3.2228217124939","1.94802927970886","1.73641133308411"
"R2_T2_J2","2035","2","2","2","0.49872403840224","0.86430279413859","0.744669576485952","0.983936011791229","False","False","1.51204717159271","0.635857164859772","4.03555870056152","0.567862331867218","2.28408145904541","1.78109920024872"
"R3_T3_J3","2026","3","3","3","0.290785921737552","0.290785921737552","0.309058537085851","0.272513306389252","False","False","1.98361885547638","4.58312511444092","5.86574840545654","3.67098546028137","1.23545265197754","3.20391154289246"
"R3_T3_J3","2027","3","3","3","0.215549971985941","0.215549971985941","0.104674788968017","0.326425155003866","False","False","5.73839235305786","4.77406072616577","3.54309511184692","7.22716093063354","0.30286768078804","3.31430864334106"
"R3_T3_J3","2028","3","3","3","0.260522202006541","0.260522202006541","0.0434978511960556","0.477546552817027","False","False","6.0953221321106","2.85745882987976","4.21231079101563","3.86056900024414","1.80385088920593","1.61972320079803"
"R3_T3_J3","2029","3","3","3","0.730952898661296","0.974367479483286","0.965516686439514","0.983218272527059","True","True","0.728154003620148","0.627596616744995","0.617389559745789","0.735950708389282","2.03886413574219","0.93080735206604"
"R3_T3_J3","2030","3","3","3","0.262483654543757","0.262483654543757","0.0116754236320655","0.513291885455449","False","False","9.0684118270874","5.95608997344971","7.21727228164673","3.6198513507843","3.68357706069946","1.76214826107025"
"R3_T3_J3","2031","3","3","3","0.574591971933842","0.798501645525297","0.973290284474691","0.623713006575902","False","False","0.723482370376587","3.77640604972839","0.892190456390381","7.24472951889038","1.57993316650391","1.69060075283051"
"R3_T3_J3","2032","3","3","3","0.29780987999402","0.385539428641399","0.3099425137043","0.461136343578498","False","False","5.23599529266357","3.12317538261414","4.52619028091431","6.7489538192749","1.8239997625351","2.0268452167511"
"R3_T3_J3","2033","3","3","3","0.576352010170619","0.679524968067805","0.382448454697927","0.976601481437683","False","False","5.9537935256958","0.801454544067383","5.18799114227295","2.65623354911804","1.44597041606903","1.90666460990906"
"R3_T3_J3","2034","3","3","3","0.194492528835932","0.194492528835932","0.151881987849871","0.237103069821994","False","False","3.41318130493164","5.98451089859009","3.36254954338074","4.8232045173645","2.92204475402832","2.60461664199829"
"R3_T3_J3","2035","3","3","3","0.383226777116458","0.620677952965101","0.271973560253779","0.969382345676422","False","False","16.9367179870605","0.76338928937912","6.28147554397583","2.90905666351318","2.66648316383362","4.15707015991211"
"R5_T3_J3","2026","5","3","3","0.275603459527095","0.275603459527095","0.281631775200367","0.269575143853823","False","False","1.98361885547638","4.58312511444092","9.7826337814331","6.1307258605957","1.23545265197754","3.20391154289246"
"R5_T3_J3","2027","5","3","3","0.219104749771456","0.219104749771456","0.104174053296447","0.334035446246465","False","False","5.73839235305786","4.77406072616577","5.92532920837402","12.0564661026001","0.30286768078804","3.31430864334106"
"R5_T3_J3","2028","5","3","3","0.291258125876387","0.291258125876387","0.0707795905570189","0.511736661195755","False","False","6.0953221321106","2.85745882987976","7.03870964050293","6.45737314224243","1.80385088920593","1.61972320079803"
"R5_T3_J3","2029","5","3","3","0.692428489526113","0.96048707763354","0.934487561384837","0.986486593882243","True","False","0.664573132991791","0.655770242214203","1.49279010295868","0.414014637470245","2.47445464134216","0.738938808441162"
"R5_T3_J3","2030","5","3","3","0.256358864717185","0.256358864717185","0.00848956468204657","0.504228164752324","False","False","9.0684118270874","5.95608997344971","12.0167350769043","6.02772808074951","3.68357706069946","1.76214826107025"
"R5_T3_J3","2031","5","3","3","0.585992902517319","0.809265474478404","0.970846116542816","0.647684832413991","False","False","0.720697522163391","3.48238730430603","1.59151554107666","6.94054222106934","1.55465793609619","1.55698490142822"
"R5_T3_J3","2032","5","3","3","0.290158295887522","0.349825570980708","0.293125728766123","0.406525413195292","False","False","5.97135543823242","3.73435926437378","6.4122748374939","10.7555017471313","1.76341950893402","2.26139736175537"
"R5_T3_J3","2033","5","3","3","0.598655159274737","0.700116316477458","0.433183332284292","0.967049300670624","False","False","4.8190131187439","0.944732666015625","8.31025886535645","4.42111110687256","1.18790197372437","2.62581014633179"
"R5_T3_J3","2034","5","3","3","0.204512884219488","0.204512884219488","0.170911431312561","0.238114337126414","False","False","3.41318130493164","5.98451089859009","5.60584354400635","8.00189590454102","2.92204475402832","2.60461664199829"
"R5_T3_J3","2035","5","3","3","0.352259623507659","0.583295896649361","0.23088068763415","0.935711105664571","False","False","17.4206924438477","0.533605694770813","11.2311239242554","2.82784724235535","2.64419984817505","4.07060384750366"
"R3_T5_J3","2026","3","5","3","0.111960112970943","0.111960112970943","0.127060193413248","0.0968600325286388","False","False","3.30602979660034","7.63854122161865","5.86574840545654","3.67098546028137","1.23545265197754","3.20391154289246"
"R3_T5_J3","2027","3","5","3","0.05807859202226","0.05807859202226","0.00953895101944606","0.106618233025074","False","False","9.56398296356201","7.95677280426025","3.54309511184692","7.22716093063354","0.30286768078804","3.31430864334106"
"R3_T5_J3","2028","3","5","3","0.130553452763706","0.130553452763706","0","0.261106905527413","False","False","10.1588716506958","4.76243257522583","4.21231079101563","3.86056900024414","1.80385088920593","1.61972320079803"
"R3_T5_J3","2029","3","5","3","0.638873606920242","0.873701800902685","0.762041687965393","0.985361913839976","False","False","1.60170638561249","0.674442827701569","3.43649744987488","0.606517910957336","1.66581273078918","0.900969982147217"
"R3_T5_J3","2030","3","5","3","0.157539900081853","0.157539900081853","0.0061196107417345","0.308960189421972","False","False","15.1140203475952","9.92681312561035","7.21727228164673","3.6198513507843","3.68357706069946","1.76214826107025"
"R3_T5_J3","2031","3","5","3","0.368766746173302","0.671608531847596","0.975987871487935","0.367229192207257","False","False","0.769629120826721","6.683180809021","1.48200142383575","8.05447006225586","1.58825016021729","1.75106024742126"
"R3_T5_J3","2032","3","5","3","0.11118438312163","0.11118438312163","0.01794968234996","0.204419083893299","False","False","11.2363958358765","6.51335000991821","2.70732641220093","6.65837955474854","1.90455949306488","1.98268914222717"
"R3_T5_J3","2033","3","5","3","0.410200717548529","0.410200717548529","0.191787555813789","0.628613879283269","False","False","13.7576675415039","5.8524227142334","3.39061331748962","5.36914348602295","1.53658425807953","3.31400108337402"
"R3_T5_J3","2034","3","5","3","0.0655247258643309","0.0655247258643309","0.0592952991525332","0.0717541525761286","False","False","5.68863487243652","9.97418403625488","3.36254954338074","4.8232045173645","2.92204475402832","2.60461664199829"
"R3_T5_J3","2035","3","5","3","0.1977378706603","0.1977378706603","0.017384927564611","0.378090813755989","False","False","11.2741365432739","3.44682097434998","7.49551391601563","2.60579252243042","2.5804603099823","4.44132804870605"
"R3_T3_J5","2026","3","3","5","0.28646417039757","0.28646417039757","0.310806959867477","0.262121380927662","False","False","1.98361885547638","4.58312511444092","5.86574840545654","3.67098546028137","2.05908584594727","5.33985280990601"
